id	imageUrl	artist	artistUrl	platform	imageSourceUrl	mediaSource	girlOrBoy
0	https://media.discordapp.net/attachments/1062621565080059964/1062621800305004575/02xNsqO8heu2UvjB.png	石田	https://www.pixiv.net/en/users/46831555	pixiv	https://www.pixiv.net/en/artworks/88311543	#N/A	boy
1	https://media.discordapp.net/attachments/1062621565080059964/1062623458837659658/61BUVbitQG4ozuvf.png	Itsuka Eranville	https://www.pixiv.net/en/users/81257165	pixiv	https://www.pixiv.net/en/artworks/104426815	VOCALOID	girl
2	https://cdn.donmai.us/original/3b/3c/__asuna_sinon_asuna_and_sinon_sword_art_online_drawn_by_shikei__3b3cbf44283b2114a824b544e61db843.jpg	しけー	https://www.pixiv.net/en/users/2710689	pixiv	https://www.pixiv.net/en/artworks/103781496	Sword Art Online	girl
3	https://cdn.donmai.us/original/80/82/__sawatari_akane_chainsaw_man_drawn_by_deyo_nicijyou__808227bd94cb41c9d91856f3f9de49d0.jpg	nicijyou_deyo	https://twitter.com/nicijyou_deyo	twitter	https://twitter.com/nicijyou_deyo/status/1581267054505492480	Chainsaw Man	girl
4	https://cdn.donmai.us/original/b8/1c/__power_chainsaw_man_drawn_by_deyo_nicijyou__b81ce79baa5eabb34dffc6e217b364df.jpg	nicijyou_deyo	https://twitter.com/nicijyou_deyo	twitter	https://twitter.com/nicijyou_deyo/status/1583066383868342273	Chainsaw Man	girl
5	https://cdn.donmai.us/original/95/b1/__makima_chainsaw_man_drawn_by_deyo_nicijyou__95b190333718d9a68da7c633c9993669.jpg	nicijyou_deyo	https://twitter.com/nicijyou_deyo	twitter	https://twitter.com/nicijyou_deyo/status/1581978664140345347	Chainsaw Man	girl
6	https://cdn.donmai.us/original/22/30/__reze_chainsaw_man_drawn_by_deyo_nicijyou__2230c9995f9b07223adedbbd8b39d11a.jpg	nicijyou_deyo	https://twitter.com/nicijyou_deyo	twitter	https://twitter.com/nicijyou_deyo/status/1580539713332527106	Chainsaw Man	girl
7	https://cdn.donmai.us/original/69/12/__number_five_the_umbrella_academy_drawn_by_qin_7833198__691255eaac03a363ca571039a58b0872.jpg	TE	https://www.pixiv.net/en/users/8126510	pixiv	https://www.pixiv.net/en/artworks/87128948	The Umbrella Academy	boy
8	https://safebooru.org//images/4066/7cba295d760e6d896f172a13a2821a77.gif	Seseren	https://www.pixiv.net/en/users/16274829	pixiv	https://www.pixiv.net/en/artworks/89580177	Red: Pride of Eden	girl
9	https://cdn.donmai.us/original/e2/0c/__final_fantasy_and_1_more_drawn_by_kou_hiyoyo__e20c5449fcd7ff6171c0d69e1b4fee3a.png	kou_hiyoyo	https://twitter.com/kou_hiyoyo	twitter	https://twitter.com/kou_hiyoyo/status/1612411360679190528	Final Fantasy XIV	girl
A	https://cdn.donmai.us/original/5f/75/__raiden_shogun_scaramouche_and_wanderer_genshin_impact_drawn_by_marutaro__5f75ae809b8453ebee69e4abf3f613c5.jpg	お丸太郎	https://www.pixiv.net/en/users/52354518	pixiv	https://www.pixiv.net/artworks/104353965	Genshin Impact	duo
B	https://media.discordapp.net/attachments/1062621565080059964/1062638471262502983/Tr9pB6GeaixyTn26.png	枫彧君	https://www.pixiv.net/en/users/14357616	pixiv	https://www.pixiv.net/en/artworks/104419795	#N/A	boy
